,date,amount,description,category
347,2019-12-04,-8.4,ralph's cafe at the the universit ns aus card xx6725 value date: 30/11/2019,food
348,2019-12-04,-35.0,uber   *eats sydney au aus card xx6725 value date: 30/11/2019,uber
349,2019-12-04,-27.34,deus cafe camperdown camperdown ns aus card xx6725 value date: 01/12/2019,food
350,2019-12-04,-26.15,thai la-ong newtown au aus card xx6725 value date: 30/11/2019,food
351,2019-12-04,-10.0,transportfornsw opal chippendale  aus card xx6725 value date: 02/12/2019,public transport
352,2019-12-03,-14.0,mcdonalds gladesville gladesville  nswau,food
353,2019-12-03,-3.7,taste baguette the universit  aus card xx6725 value date: 28/11/2019,food
354,2019-12-03,-4.0,gumption coffee          sydney       au,food
355,2019-12-02,-20.0,sydney barbers pty ltd   sydney       au card xx6725,health
356,2019-12-02,100.0,transfer from catharine dodds commbank app hair x,transfer
357,2019-12-02,-4.4,x-macquarie 261 pty      sydney       au card xx6725,shopping
358,2019-11-30,-275.0,transfer to other bank commbank app owings value date: 01/12/2019,transfer
359,2019-11-30,250.0,commbank app tfr from rachel dodds rent value date: 01/12/2019,transfer
360,2019-11-30,-5.2,taste baguette the universit  aus card xx6725 value date: 27/11/2019,food
361,2019-11-29,-2.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 27/11/2019,fuel
362,2019-11-29,-26.99,uberuae_eats sydney au aus card xx6725 value date: 26/11/2019,food
363,2019-11-29,-6.0,grounded 2050 cafe camperdown ns aus card xx6725 value date: 26/11/2019,food
364,2019-11-27,15.0,transfer from mcguirec credit to account,transfer
365,2019-11-27,-20.0,doordash melbourne vi aus card xx6725 value date: 23/11/2019,food
366,2019-11-26,-36.28,caltex star mart gla     gladesville  au card xx6725,fuel
367,2019-11-26,-4.2,grounded 2050 cafe camperdown ns aus card xx6725 value date: 21/11/2019,food
368,2019-11-26,-3.7,taste baguette the universit  aus card xx6725 value date: 22/11/2019,food
369,2019-11-24,-10.4,mcdonaldscamperdownca camperdown   nswau,food
370,2019-11-23,-2.4,doordash*ribs & burger melbourne vi aus card xx6725 value date: 21/11/2019,food
371,2019-11-22,-2.5,coles express 1640 hunters hill au aus card xx6725 value date: 20/11/2019,food
372,2019-11-21,50.0,transfer from john holdsworth credit to account,transfer
373,2019-11-21,-13.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 17/11/2019,beers
374,2019-11-21,-13.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 17/11/2019,beers
375,2019-11-20,-4.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 15/11/2019,fuel
376,2019-11-20,-2.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 17/11/2019,fuel
377,2019-11-19,-360.0,transfer to xx4138 commbank app savings,transfer
378,2019-11-19,858.0,salary st john's colleg st johns college,wages
379,2019-11-17,-4.0,mcdonalds broadway    sydney       nswau value date: 18/11/2019,food
380,2019-11-16,-1.0,coles express 1640 hunters hill au aus card xx6725 value date: 14/11/2019,food
381,2019-11-15,-2.2,t famous berry don v berry  aus card xx6725 value date: 11/11/2019,food
382,2019-11-14,-19.0,coles express 1640 hunters hill au aus card xx6725 value date: 12/11/2019,fuel
383,2019-11-14,-10.0,sq *berry moto cafe & berry au aus card xx6725 value date: 11/11/2019,food
384,2019-11-13,65.0,transfer from mcguirec credit to account,transfer
385,2019-11-13,-17.17,berry hotel berry ns aus card xx6725 value date: 11/11/2019,beers
386,2019-11-13,-1.6,7-eleven 2118 camperdown ns aus card xx6725 value date: 09/11/2019,fuel
387,2019-11-13,-91.99,natural necessity gerringong ns aus card xx6725 value date: 11/11/2019,food
388,2019-11-13,-9.5,natural necessity gerringong ns aus card xx6725 value date: 11/11/2019,food
389,2019-11-12,20.0,transfer from xx4138 commbank app,transfer
390,2019-11-12,-14.0,liquorland 3638 glebe au aus card xx6725 value date: 08/11/2019,booze
391,2019-11-12,-33.04,coles express 1709 yallah au aus card xx6725 value date: 09/11/2019,fuel
392,2019-11-12,-20.0,sq *root'd glebe au aus card xx6725 value date: 08/11/2019,food
393,2019-11-12,-18.89,uber   *eats sydney au aus card xx6725 value date: 08/11/2019,food
394,2019-11-11,-7.46,berry iga plus liquo     berry        au card xx6725,shopping
395,2019-11-11,-2.45,berry iga plus liquo     berry        au card xx6725,shopping
396,2019-11-11,90.0,transfer from xx4138 commbank app,transfer
397,2019-11-09,-21.3,hungry jacks             haywards bay au,food
398,2019-11-09,-9.5,mcdonalds stanmore    stanmore     nswau,food
399,2019-11-09,-18.7,hoochie mamma cafe newtown ns aus card xx6725 value date: 06/11/2019,food
400,2019-11-08,-4.7,qe foodstores            camperdown   au,food
401,2019-11-08,25.0,transfer from mcguirec credit to account,transfer
402,2019-11-01,25.0,transfer from mcguirec credit to account,transfer
403,2019-10-28,25.0,transfer from mcguirec credit to account,transfer
404,2019-11-08,-2.5,7-eleven 2118 camperdown ns aus card xx6725 value date: 06/11/2019,fuel
405,2019-11-08,-92.4,carillon pharmacy newtown ns aus card xx6725 value date: 06/11/2019,health
406,2019-11-07,-12.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 02/11/2019,beers
407,2019-11-06,4.0,transfer from mcguirec credit to account,transfer
408,2019-11-06,6.0,transfer from mcguirec credit to account,transfer
409,2019-11-06,-23.0,coles 0839 broadway au aus card xx6725 value date: 02/11/2019,food
410,2019-11-06,-42.5,brewtown newtown newtown ns aus card xx6725 value date: 03/11/2019,food
411,2019-11-05,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 01/11/2019,fuel
412,2019-11-05,-35.0,merchants of ultimo broadway ns aus card xx6725 value date: 02/11/2019,food
413,2019-11-05,-10.2,victoria park pool camperdown ns aus card xx6725 value date: 02/11/2019,health
414,2019-11-05,-3.55,smp*ezymart newtown newtown au aus card xx6725 value date: 31/10/2019,food
415,2019-11-05,-28.0,alfreds dry clean n la camperdown ns aus card xx6725 value date: 01/11/2019,shopping
416,2019-11-03,-6.63,qe foodstores            camperdown   au,food
417,2019-11-03,30.0,transfer from mcguirec credit to account,transfer
418,2019-11-02,14.0,transfer from mcguirec credit to account,transfer
419,2019-11-02,-12.4,mcdonaldscamperdownca camperdown   nswau,food
420,2019-11-02,-15.18,loaded by bl newtown ns aus card xx6725 value date: 31/10/2019,food
421,2019-11-02,-55.45,coles express 1544 drummoyne au aus card xx6725 value date: 31/10/2019,fuel
422,2019-11-02,-13.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 29/10/2019,beers
423,2019-11-01,-25.0,transfer to sam janssen commbank app chocolate,transfer
424,2019-11-01,-3.29,qe foodstores            camperdown   au,food
425,2019-11-01,-9.9,taste baguette the universit  aus card xx6725 value date: 29/10/2019,food
426,2019-11-01,-8.0,taste baguette the universit  aus card xx6725 value date: 29/10/2019,food
427,2019-10-31,-2.55,mcdonalds stanmore    stanmore     nswau,food
428,2019-10-31,-4.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 29/10/2019,food
429,2019-10-31,-18.99,supamart harold park forest lodge ns aus card xx6725 value date: 28/10/2019,food
430,2019-10-31,-4.2,taste baguette the universit  aus card xx6725 value date: 28/10/2019,food
431,2019-10-30,-15.49,chippendale cellars chippendale ns aus card xx6725 value date: 26/10/2019,booze
432,2019-10-30,-10.0,mr yeeros newtown flinders view ns aus card xx6725 value date: 25/10/2019,food
433,2019-10-29,-7.37,uber   *trip sydney au aus card xx6725 value date: 25/10/2019,uber
434,2019-10-28,-1500.0,transfer to xx4138 commbank app johns bond,transfer
435,2019-10-28,1600.0,direct credit 026109 st john's colleg st john's college,education
436,2019-10-27,-5.95,mcdonalds stanmore    stanmore     nswau,food
437,2019-10-27,-13.0,transfer to other bank commbank app king st,transfer
438,2019-10-26,-20.0,transfer to xx4138 commbank app,transfer
439,2019-10-26,150.0,transfer from alison  voulgaris tutoring max,wages
440,2019-10-26,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 24/10/2019,food
441,2019-10-25,20.0,transfer from xx4138 commbank app value date: 26/10/2019,transfer
442,2019-10-25,-10.0,regent hotel             kingsford    au,beers
443,2019-10-25,-10.0,regent hotel             kingsford    au,beers
444,2019-10-25,-16.0,regent hotel             kingsford    au,beers
445,2019-10-25,50.0,direct credit 128594 nab transfer angus houston,wages
446,2019-10-25,-8.5,taste baguette the universit  aus card xx6725 value date: 22/10/2019,food
447,2019-10-25,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 23/10/2019,food
448,2019-10-24,-4.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 21/10/2019,food
449,2019-10-23,-4.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 21/10/2019,food
450,2019-10-23,-14.0,sq *an dail camperdown au aus card xx6725 value date: 20/10/2019,beers
451,2019-10-22,-2.99,qe foodstores            camperdown   au,food
452,2019-10-22,-4.2,grounded 2050 cafe       camperdown   au,food
453,2019-10-05,-4.2,grounded 2050 cafe       camperdown   au,food
454,2019-08-30,-4.2,grounded 2050 cafe       camperdown   au,food
455,2019-10-22,-7.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 16/10/2019,beers
456,2019-10-22,-5.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 16/10/2019,beers
457,2019-10-22,-3.5,f23 restaurant darlington ns aus card xx6725 value date: 18/10/2019,food
458,2019-10-19,-18.27,osaka trading co         forest lodge au,food
459,2019-10-19,-3.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 17/10/2019,food
460,2019-10-19,-4.2,taste baguette the universit  aus card xx6725 value date: 16/10/2019,food
461,2019-10-18,-9.95,mcdonalds stanmore    stanmore     nswau,food
462,2019-10-18,-3.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 16/10/2019,food
463,2019-10-17,-4.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 15/10/2019,food
464,2019-10-16,-25.0,transfer to other bank commbank app hey,transfer
465,2019-10-16,-10.0,ralph's cafe at the the universit ns aus card xx6725 value date: 14/10/2019,food
466,2019-10-16,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 14/10/2019,food
467,2019-10-15,-11.17,freda's chippendale ns aus card xx6725 value date: 11/10/2019,beers
468,2019-10-15,-51.34,coles express 1544 drummoyne au aus card xx6725 value date: 11/10/2019,fuel
469,2019-10-15,-10.3,uber   *trip sydney au aus card xx6725 value date: 11/10/2019,uber
470,2019-10-15,-19.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 10/10/2019,beers
471,2019-10-15,-4.9,taste baguette the universit  aus card xx6725 value date: 11/10/2019,food
472,2019-10-12,-5.4,taste baguette the universit  aus card xx6725 value date: 09/10/2019,food
473,2019-10-11,-9.5,ralph's cafe at the the universit ns aus card xx6725 value date: 09/10/2019,food
474,2019-10-10,-53.0,franks pizza bar camperdown ns aus card xx6725 value date: 08/10/2019,food
475,2019-10-10,-4.0,sq *an dail camperdown au aus card xx6725 value date: 07/10/2019,beers
476,2019-10-10,-4.0,sq *an dail camperdown au aus card xx6725 value date: 07/10/2019,beers
477,2019-10-10,-13.5,uberuae_eats sydney au aus card xx6725 value date: 07/10/2019,food
478,2019-10-09,-5.5,7-eleven 2118 camperdown ns aus card xx6725 value date: 04/10/2019,food
479,2019-10-08,-13.9,uberuae_eats sydney au aus card xx6725 value date: 04/10/2019,food
480,2019-10-04,-1.0,coles express 1640 hunters hill au aus card xx6725 value date: 02/10/2019,food
481,2019-10-03,-12.0,eastern suburbs dist bellevue hill ns aus card xx6725 value date: 29/09/2019,beers
482,2019-10-03,-10.0,eastern suburbs dist bellevue hill ns aus card xx6725 value date: 29/09/2019,beers
483,2019-10-03,-13.0,eastern suburbs dist bellevue hill ns aus card xx6725 value date: 29/09/2019,beers
484,2019-10-03,-10.0,transportfornsw opal chippendale  aus card xx6725 value date: 02/10/2019,public transport
485,2019-10-02,-19.0,uberuae_eats sydney au aus card xx6725 value date: 30/09/2019,food
486,2019-10-02,-16.0,uberuae_eats sydney au aus card xx6725 value date: 30/09/2019,food
487,2019-10-02,-19.99,7-eleven 2118 camperdown ns aus card xx6725 value date: 29/09/2019,food
488,2019-10-02,-3.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 28/09/2019,food
489,2019-10-02,-5.24,uber   *trip sydney ns aus card xx6725 value date: 28/09/2019,uber
490,2019-10-01,-8.0,grounded 2050 cafe       camperdown   au,food
491,2019-10-01,-10.7,grounded 2050 cafe       camperdown   au,food
492,2019-10-01,-0.09,debit excess interest,transfer
493,2019-10-01,-8.4,ralph's cafe at the the universit ns aus card xx6725 value date: 27/09/2019,food
494,2019-10-01,-8.1,delish pork r&j b pl newtown ns aus card xx6725 value date: 26/09/2019,food
495,2019-09-30,300.0,transfer from anne-marie brown tutoring maths,wages
496,2019-09-28,-5.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 26/09/2019,food
497,2019-09-28,-3.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 26/09/2019,food
498,2019-09-28,-13.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 24/09/2019,beers
499,2019-09-26,-10.9,uberuae_eats sydney au aus card xx6725 value date: 23/09/2019,food
500,2019-09-26,-5.8,taste baguette the universit  aus card xx6725 value date: 23/09/2019,food
501,2019-09-25,-6.2,mcdonalds stanmore    stanmore     nswau,food
502,2019-09-25,-2.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 22/09/2019,food
503,2019-09-25,-5.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 22/09/2019,food
504,2019-09-25,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 21/09/2019,food
505,2019-09-25,-12.0,uber   *eats sydney ns aus card xx6725 value date: 23/09/2019,uber
506,2019-09-25,-37.0,uber   *eats sydney ns aus card xx6725 value date: 22/09/2019,uber
507,2019-09-25,-21.9,uber   *eats sydney ns aus card xx6725 value date: 21/09/2019,uber
508,2019-09-24,-7.99,officeworks 0209 glebe au aus card xx6725 value date: 20/09/2019,shopping
509,2019-09-24,-19.08,officeworks 0209 glebe au aus card xx6725 value date: 20/09/2019,shopping
510,2019-09-24,-13.0,coles express 1544 drummoyne au aus card xx6725 value date: 19/09/2019,food
511,2019-09-23,-4.0,mcdonalds stanmore    stanmore     nswau,food
512,2019-09-23,200.0,direct credit 421520 anne-marie brown billy dodds,wages
513,2019-09-21,-10.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 18/09/2019,food
514,2019-09-21,-4.7,taste baguette sydney  aus card xx6725 value date: 17/09/2019,food
515,2019-09-20,-7.45,mcdonalds darling qtr sydney       nswau,food
516,2019-09-20,-60.0,coles express 1544 drummoyne au aus card xx6725 value date: 18/09/2019,fuel
517,2019-09-19,-220.0,transfer to other bank commbank app hey,transfer
518,2019-09-19,165.0,commbank app tfr from rachel dodds chopper,transfer
519,2019-09-19,200.0,transfer from catharine dodds commbank app mum x,transfer
520,2019-09-19,-170.0,dental corporation  gladesville       au,health
521,2019-09-19,-14.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 15/09/2019,beers
522,2019-09-19,-4.5,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 15/09/2019,beers
523,2019-09-18,-13.0,mr yeeros newtown flinders view ns aus card xx6725 value date: 13/09/2019,food
524,2019-09-18,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 16/09/2019,food
525,2019-09-18,-45.0,franks pizza bar camperdown ns aus card xx6725 value date: 15/09/2019,food
526,2019-09-17,-5.99,7-eleven 2118 camperdown ns aus card xx6725 value date: 13/09/2019,food
527,2019-09-17,-10.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 11/09/2019,beers
528,2019-09-17,-3.5,sq *an dail camperdown au aus card xx6725 value date: 13/09/2019,beers
529,2019-09-17,-5.0,sq *an dail camperdown au aus card xx6725 value date: 13/09/2019,beers
530,2019-09-15,36.0,transfer from cassidy lobb commbank app alcohol,transfer
531,2019-09-14,-7.5,the reject shop 2299 glebe ns aus card xx6725 value date: 11/09/2019,shopping
532,2019-09-14,-3.0,sq *an dail camperdown au aus card xx6725 value date: 11/09/2019,beers
533,2019-09-14,-4.7,taste baguette sydney  aus card xx6725 value date: 10/09/2019,food
534,2019-09-13,-6.2,uber   *trip sydney ns aus card xx6725 value date: 10/09/2019,uber
535,2019-09-13,-36.0,liquorland 3638 glebe au aus card xx6725 value date: 11/09/2019,booze
536,2019-09-12,-42.2,uberuae_eats sydney au aus card xx6725 value date: 09/09/2019,food
537,2019-09-12,-13.0,eastern suburbs dist bellevue hill ns aus card xx6725 value date: 06/09/2019,beers
538,2019-09-12,19.0,return uberuae_eats sydney au aus card xx6725 value date: 09/09/2019,food
539,2019-09-11,-5.0,mcdonaldscamperdownca camperdown   nswau,food
540,2019-09-05,-5.0,mcdonaldscamperdownca camperdown   nswau,food
541,2019-09-11,-246.0,qpay parammatta ns aus card xx6725 value date: 09/09/2019,shopping
542,2019-09-11,-150.0,uber   *trip sydney ns aus card xx6725 value date: 06/09/2019,uber
543,2019-09-11,-15.15,uber   *trip sydney ns aus card xx6725 value date: 06/09/2019,uber
544,2019-09-11,-2.0,coles express 1544 drummoyne au aus card xx6725 value date: 09/09/2019,food
545,2019-09-11,-123.0,qpay parammatta ns aus card xx6725 value date: 08/09/2019,shopping
546,2019-09-10,-17.0,gin lane                 chippendale  au,beers
547,2019-09-10,300.0,salary st john's colleg st johns college,wages
548,2019-09-10,-2.0,coles express 1544 drummoyne au aus card xx6725 value date: 06/09/2019,food
549,2019-09-10,-2.89,uber trip help.uber.co 14518236738 au aus card xx6725 value date: 07/09/2019,uber
550,2019-09-10,-22.2,uber trip help.uber.co 14518236738 au aus card xx6725 value date: 06/09/2019,uber
551,2019-09-10,-12.75,uber trip help.uber.co 14518236738 au aus card xx6725 value date: 06/09/2019,uber
552,2019-09-10,-8.12,uber trip help.uber.co 14518236738 au aus card xx6725 value date: 06/09/2019,uber
553,2019-09-10,-12.61,paragon sydney ns aus card xx6725 value date: 07/09/2019,beers
554,2019-09-10,-8.07,paragon sydney ns aus card xx6725 value date: 07/09/2019,beers
555,2019-09-10,-100.0,iwannaticket darlinghurst  aus card xx6725 value date: 06/09/2019,shopping
556,2019-09-09,151.0,transfer from xx4138 commbank app,transfer
557,2019-09-09,240.0,commbank app tfr from rachel dodds chopper,transfer
558,2019-09-09,-5.7,mcdonaldscamperdownca camperdown   nswau,food
559,2019-09-07,-9.0,mcdonalds gladesville gladesville  nswau,food
560,2019-09-07,150.0,transfer from mcguirec credit to account,transfer
561,2019-09-07,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 05/09/2019,food
562,2019-09-07,-56.0,paypal *tobydeals 4029357733 au aus card xx6725 value date: 04/09/2019,shopping
563,2019-09-07,-10.0,bondi junction store p   bondi junctioau card xx6725,shopping
564,2019-09-06,200.0,transfer from xx4138 commbank app value date: 07/09/2019,transfer
565,2019-09-06,-5.0,the bellevue hotel       paddington   au,beers
566,2019-09-06,-2.5,7 express mart pty ltd   paddington   au card xx6725,shopping
567,2019-09-06,-22.35,coogee ground coogee ns aus card xx6725 value date: 04/09/2019,beers
568,2019-09-06,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 04/09/2019,food
569,2019-09-05,-9.95,mcdonalds darling qtr sydney       nswau,food
570,2019-09-05,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 03/09/2019,food
571,2019-09-04,200.0,transfer from xx4138 commbank app,transfer
572,2019-09-04,-17.0,mr yeeros newtown flinders view ns aus card xx6725 value date: 31/08/2019,food
573,2019-09-04,-12.99,7-eleven 2118 camperdown ns aus card xx6725 value date: 31/08/2019,food
574,2019-09-04,-2.5,coles express 1544 drummoyne au aus card xx6725 value date: 02/09/2019,food
575,2019-09-03,-8.99,qe foodstores            camperdown   au,food
576,2019-09-03,-1.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 30/08/2019,food
577,2019-09-03,-10.0,sq *an dail camperdown au aus card xx6725 value date: 30/08/2019,beers
578,2019-09-03,-10.0,sq *an dail camperdown au aus card xx6725 value date: 30/08/2019,beers
579,2019-09-02,50.0,direct credit 106600 lachiewood billy dodds,wages
580,2019-09-01,-5.0,mcdonalds stanmore    stanmore     nswau,food
581,2019-08-31,-20.81,transfer to cba a/c commbank app 1c tip ur welcome,transfer
582,2019-08-31,-5.0,7-eleven 2118 camperdown ns aus card xx6725 value date: 28/08/2019,food
583,2019-08-31,-13.0,alfred hotel mngmnt camperdown ns aus card xx6725 value date: 27/08/2019,beers
584,2019-08-29,50.0,direct credit 128594 susan houston angus houston,wages
585,2019-08-29,-11.5,bar emilios              drummoyne    au card xx6725,beers
586,2019-08-29,-210.0,dr alexandra varol       drummoyne    au card xx6725,health
587,2019-08-29,-31.22,coles express 1544 drummoyne au aus card xx6725 value date: 27/08/2019,fuel
588,2019-08-29,-13.0,smp*erciyes coogee coogee au aus card xx6725 value date: 25/08/2019,food
589,2019-08-29,-11.0,smp*erciyes coogee coogee au aus card xx6725 value date: 25/08/2019,food
590,2019-08-28,-15.38,uber trip help.uber.co 14518236738 au aus card xx6725 value date: 26/08/2019,uber
591,2019-08-28,-17.99,coogee bay cellars coogee ns aus card xx6725 value date: 25/08/2019,booze
592,2019-08-28,-5.2,uber   *trip sydney ns aus card xx6725 value date: 26/08/2019,uber
593,2019-08-28,-4.61,uber trip help.uber.co 14518236738 au aus card xx6725 value date: 26/08/2019,uber
594,2019-08-28,-2.95,uber   *trip sydney ns aus card xx6725 value date: 26/08/2019,uber
595,2019-08-28,-6.1,uber   *trip sydney ns aus card xx6725 value date: 25/08/2019,uber
596,2019-08-28,-16.84,uber   *trip sydney ns aus card xx6725 value date: 25/08/2019,uber
597,2019-08-28,-10.0,sq *an dail camperdown au aus card xx6725 value date: 24/08/2019,beers
598,2019-08-27,-9.0,mcdonalds stanmore    stanmore     nswau,food
599,2019-08-27,-4.5,campos coffee newtown ns aus card xx6725 value date: 23/08/2019,food
